n,iter_ns,rec_ns
1,333,208
2,133,100
3,100,116
4,99,125
5,108,158
6,108,233
7,774,191
8,116,208
9,116,216
10,108,250
11,125,333
12,125,250
13,133,275
14,125,449
15,149,91
16,133,83
17,141,100
18,216,83
19,166,91
20,133,75
