n,iter_ns,rec_ns
1,208,208
2,91,108
3,91,133
4,100,200
5,99,316
6,91,500
7,100,1141
8,133,1283
9,124,1950
10,125,1783
11,150,475
12,141,716
13,150,1125
14,150,1658
15,149,2700
16,149,4150
17,166,7533
18,225,10866
19,191,17600
20,175,28641
21,200,20750
22,183,29275
23,166,42116
24,175,68133
25,466,121283
26,141,178383
27,91,306250
28,100,491375
29,74,804258
30,192,1404491
31,91,1980800
32,116,3206849
33,108,5365625
34,99,8665708
35,200,13780116
