n,iter_ns,rec_ns
1000,5016,4425
2000,10241,8125
3000,15125,13016
4000,20100,17166
5000,25075,20516
6000,30916,24591
7000,30791,25450
8000,34733,29025
9000,38475,33158
10000,42641,36200
11000,34741,42958
12000,19241,47608
13000,21183,47474
14000,14183,56449
15000,14199,56741
16000,2125,65708
17000,2258,68533
18000,2391,58916
19000,2516,55508
20000,2641,58550
